id,age,gender,sign_up_method,payment_method,no_of_devices
12372,71,M,Facebook,PayPal,2
12373,25,F,Google,Credit card,3
12374,72,M,Facebook,Credit card,4
12375,72,M,Facebook,Credit card,4
12376,78,F,Facebook,PayPal,1
12377,46,M,Email,Debit card,4
12378,73,M,Facebook,Credit card,2
12379,36,F,Email,Debit card,1
12380,28,F,Email,Debit card,2
12381,32,F,Google,PayPal,3
12382,60,F,Facebook,Debit card,2
12383,80,F,Facebook,Debit card,1
12384,48,M,Google,Credit card,1
12385,74,F,Google,Credit card,3
12386,70,F,Email,Credit card,4
12387,47,M,Email,PayPal,4
12388,76,M,Email,Debit card,3
12389,21,M,Email,Credit card,4
12390,22,M,Email,Debit card,1
12391,34,M,Google,Credit card,3
12392,57,F,Google,Credit card,2
12393,27,F,Facebook,Credit card,3
12394,35,F,Email,Credit card,1
12395,36,F,Google,PayPal,2
12396,72,F,Email,Credit card,4
12397,45,M,Google,Debit card,2
12398,22,M,Email,Debit card,4
12399,34,F,Facebook,PayPal,4
12400,20,M,Google,Debit card,4
12401,43,F,Google,Credit card,3
12402,18,M,Google,Debit card,4
12403,63,M,Email,PayPal,2
12404,26,M,Google,PayPal,1
12405,74,M,Google,Credit card,2
12406,41,M,Facebook,Debit card,2
12407,78,M,Email,PayPal,1
12408,63,M,Email,Debit card,3
12409,73,F,Facebook,Debit card,4
12410,65,M,Facebook,PayPal,1
12411,27,F,Facebook,PayPal,3
12412,24,M,Facebook,Debit card,3
12413,33,M,Email,Credit card,2
12414,68,M,Facebook,Debit card,3
12415,42,F,Google,Credit card,1
12416,39,M,Facebook,PayPal,2
12417,20,M,Google,Credit card,4
12418,26,F,Email,PayPal,1
12419,46,F,Email,Credit card,1
12420,44,F,Facebook,PayPal,2
12421,53,M,Email,Debit card,4
12422,29,F,Google,PayPal,4
12423,65,F,Facebook,Credit card,1
12424,23,F,Facebook,PayPal,3
12425,65,M,Facebook,Credit card,1
12426,32,F,Google,Credit card,4
12427,67,M,Facebook,Credit card,1
12428,65,M,Google,PayPal,3
12429,61,M,Facebook,Credit card,4
12430,34,F,Email,PayPal,1
12431,40,F,Google,PayPal,4
12432,70,F,Facebook,PayPal,4
12433,70,F,Google,PayPal,2
12434,51,M,Facebook,Debit card,3
12435,48,F,Facebook,Debit card,3
12436,69,M,Facebook,Credit card,2
12437,50,M,Email,PayPal,4
12438,26,F,Email,PayPal,4
12439,74,F,Google,Credit card,1
12440,49,M,Facebook,PayPal,4
12441,80,F,Facebook,PayPal,2
12442,68,F,Facebook,Debit card,1
12443,64,F,Email,PayPal,3
12444,36,F,Google,PayPal,3
12445,52,F,Google,Credit card,2
12446,19,F,Facebook,Debit card,4
12447,34,F,Google,Credit card,2
12448,33,F,Google,PayPal,1
12449,71,M,Email,PayPal,1
12450,59,M,Email,Debit card,3
12451,63,M,Facebook,Credit card,2
12452,70,M,Facebook,PayPal,2
12453,80,F,Email,Credit card,4
12454,31,M,Email,Credit card,1
12455,27,F,Google,Debit card,2
12456,77,F,Google,Debit card,2
12457,38,M,Facebook,PayPal,4
12458,81,M,Facebook,Credit card,1
12459,31,F,Email,Debit card,3
12460,23,F,Email,PayPal,4
12461,63,F,Google,Debit card,1
12462,66,M,Google,Credit card,2
12463,59,F,Facebook,Credit card,4
12464,53,F,Google,PayPal,2
12465,55,F,Facebook,Debit card,2
12466,43,F,Facebook,PayPal,3
12467,22,M,Email,PayPal,3
12468,63,F,Google,Credit card,1
12469,32,M,Facebook,Credit card,2
12470,78,M,Email,Debit card,2
12471,51,M,Facebook,Debit card,2
12472,74,F,Google,Credit card,3
12473,36,F,Google,Debit card,3
12474,80,M,Email,Credit card,2
12475,30,F,Facebook,Debit card,4
12476,69,M,Email,Debit card,2
12477,79,F,Email,Debit card,2
12478,43,M,Email,Credit card,2
12479,45,M,Email,Credit card,3
12480,51,M,Facebook,Credit card,4
12481,36,F,Facebook,PayPal,4
12482,37,M,Email,Debit card,2
12483,49,M,Google,PayPal,1
12484,42,M,Google,Credit card,4
12485,19,F,Email,Debit card,2
12486,78,F,Email,Debit card,2
12487,70,M,Email,Debit card,4
12488,74,F,Facebook,Credit card,4
12489,35,F,Google,PayPal,4
12490,24,F,Google,PayPal,1
12491,50,F,Google,PayPal,2
12492,51,F,Email,Debit card,2
12493,63,M,Google,Credit card,2
12494,36,F,Facebook,PayPal,2
12495,39,F,Facebook,PayPal,2
12496,61,F,Google,PayPal,1
12497,52,M,Facebook,Debit card,4
12498,57,F,Email,Debit card,1
12499,41,F,Email,Credit card,3
12500,62,F,Google,PayPal,2
12501,19,F,Facebook,Credit card,2
12502,28,F,Google,Debit card,2
12503,67,M,Facebook,Debit card,1
12504,18,F,Facebook,PayPal,2
12505,33,F,Google,PayPal,4
12506,57,F,Google,Credit card,1
12507,74,F,Google,Debit card,2
12508,62,M,Email,PayPal,1
12509,67,M,Google,Credit card,4
12510,81,M,Google,Debit card,4
12511,78,M,Email,Credit card,2
12512,57,F,Email,Debit card,1
12513,33,M,Facebook,Debit card,4
12514,25,M,Email,Credit card,4
12515,63,F,Facebook,PayPal,4
12516,68,F,Email,Credit card,2
12517,76,F,Facebook,Debit card,3
12518,76,M,Google,Credit card,3
12519,79,F,Facebook,PayPal,3
12520,41,F,Google,Debit card,4
12521,18,M,Facebook,Credit card,2
12522,45,M,Facebook,Debit card,4
12523,38,F,Email,Credit card,3
12524,60,M,Email,Debit card,2
12525,73,F,Email,Credit card,2
12526,50,M,Facebook,PayPal,4
12527,53,F,Facebook,Debit card,3
12528,50,F,Facebook,Credit card,3
12529,74,F,Facebook,PayPal,1
12530,46,M,Google,PayPal,4
12531,46,M,Email,Debit card,3
12532,44,M,Google,Debit card,4
12533,52,M,Email,Credit card,2
12534,38,M,Google,Debit card,4
12535,63,F,Google,PayPal,4
12536,69,F,Facebook,Credit card,2
12537,76,F,Facebook,PayPal,2
12538,79,F,Google,PayPal,1
12539,48,F,Email,PayPal,4
12540,39,F,Google,Debit card,3
12541,61,F,Facebook,PayPal,4
12542,57,M,Email,Debit card,3
12543,54,F,Email,PayPal,3
12544,48,F,Google,PayPal,3
12545,54,M,Facebook,Debit card,4
12546,55,M,Facebook,Debit card,1
12547,75,F,Facebook,Debit card,1
12548,27,F,Email,PayPal,3
12549,40,M,Google,Debit card,2
12550,22,F,Email,PayPal,2
12551,69,M,Email,Debit card,2
12552,41,M,Facebook,Debit card,4
12553,22,M,Facebook,Debit card,3
12554,29,F,Google,PayPal,1
12555,44,F,Email,Debit card,2
12556,64,M,Google,Credit card,2
12557,59,M,Email,Debit card,1
12558,54,F,Email,PayPal,3
12559,63,F,Facebook,PayPal,1
12560,74,F,Google,Debit card,4
12561,38,M,Facebook,Credit card,2
12562,39,F,Google,Debit card,1
12563,74,F,Google,PayPal,3
12564,67,M,Google,Debit card,1
12565,35,F,Email,Credit card,1
12566,35,M,Facebook,PayPal,4
12567,37,F,Google,PayPal,1
12568,22,M,Email,PayPal,1
12569,29,M,Email,Credit card,1
12570,28,M,Facebook,Debit card,3
12571,65,F,Email,Credit card,4
12572,60,F,Facebook,Debit card,2
12573,42,M,Email,Credit card,2
12574,18,F,Facebook,Debit card,4
12575,19,M,Facebook,PayPal,2
12576,42,F,Email,PayPal,4
12577,48,F,Google,Debit card,1
12578,24,F,Email,Credit card,4
12579,28,M,Email,Debit card,4
12580,57,M,Google,Debit card,4
12581,44,F,Google,Credit card,2
12582,23,F,Facebook,Credit card,2
12583,47,F,Google,PayPal,3
12584,58,F,Facebook,Credit card,4
12585,80,M,Email,Debit card,2
12586,31,M,Google,PayPal,4
12587,51,M,Facebook,PayPal,2
12588,28,M,Facebook,Debit card,4
12589,20,M,Google,PayPal,4
12590,67,M,Google,Credit card,4
12591,21,F,Google,PayPal,2
12592,33,F,Email,Credit card,2
12593,28,F,Google,Credit card,2
12594,79,M,Facebook,Credit card,3
12595,63,M,Facebook,PayPal,1
12596,56,F,Google,Credit card,2
12597,34,F,Facebook,PayPal,4
12598,42,M,Facebook,Credit card,4
12599,45,M,Google,Debit card,4
12600,46,F,Google,Debit card,1
12601,39,M,Email,Credit card,1
12602,57,M,Email,Debit card,3
12603,74,F,Google,Debit card,1
12604,36,F,Email,Credit card,2
12605,24,F,Google,PayPal,2
12606,61,F,Email,PayPal,3
12607,39,M,Google,Credit card,4
12608,42,M,Facebook,Debit card,1
12609,38,M,Facebook,Debit card,1
12610,24,F,Facebook,Debit card,1
12611,47,F,Facebook,Credit card,4
12612,28,M,Google,Debit card,2
12613,67,F,Facebook,Credit card,4
12614,74,M,Google,Credit card,1
12615,26,M,Facebook,Debit card,1
12616,81,F,Facebook,Credit card,3
12617,61,M,Facebook,Debit card,3
12618,61,M,Facebook,Credit card,1
12619,37,M,Facebook,PayPal,4
12620,68,M,Email,Credit card,4
12621,50,F,Facebook,PayPal,1
12622,78,F,Google,Credit card,4
12623,80,M,Email,Debit card,3
12624,18,F,Facebook,Debit card,3
12625,27,F,Facebook,Debit card,4
12626,34,F,Email,Debit card,4
12627,66,F,Email,PayPal,2
12628,64,F,Google,PayPal,2
12629,26,F,Email,PayPal,3
12630,45,M,Facebook,Debit card,1
12631,75,M,Facebook,PayPal,3
12632,78,F,Email,PayPal,4
12633,39,M,Google,Debit card,4
12634,56,M,Facebook,Debit card,1
12635,74,M,Google,Credit card,1
12636,45,M,Facebook,Credit card,2
12637,74,M,Email,Debit card,3
12638,66,F,Facebook,PayPal,2
12639,62,M,Facebook,PayPal,4
12640,43,M,Email,Debit card,4
12641,74,F,Google,Debit card,4
12642,25,M,Email,Debit card,1
12643,68,F,Google,Credit card,4
12644,75,F,Facebook,PayPal,3
12645,49,F,Facebook,PayPal,3
12646,64,F,Facebook,Debit card,3
12647,20,F,Facebook,Debit card,3
12648,37,M,Email,PayPal,2
12649,25,M,Google,Debit card,2
12650,42,M,Facebook,PayPal,3
12651,76,F,Email,Credit card,2
12652,66,F,Email,Debit card,1
12653,40,F,Email,Debit card,3
12654,42,F,Google,Debit card,1
12655,49,F,Facebook,PayPal,3
12656,54,M,Google,Debit card,2
12657,50,M,Email,Debit card,4
12658,51,F,Email,PayPal,3
12659,39,F,Facebook,PayPal,2
12660,28,F,Google,Debit card,2
12661,54,M,Facebook,Debit card,1
12662,70,F,Google,PayPal,1
12663,40,F,Facebook,Debit card,2
12664,74,F,Email,Credit card,4
12665,37,F,Facebook,Credit card,3
12666,65,F,Google,Credit card,1
12667,73,M,Google,Credit card,1
12668,70,M,Facebook,Credit card,2
12669,55,M,Facebook,Credit card,2
12670,59,M,Google,Credit card,3
12671,18,F,Google,Credit card,4
12672,45,M,Email,PayPal,3
12673,38,M,Google,Debit card,2
12674,35,F,Email,Credit card,2
12675,21,F,Email,Credit card,1
12676,60,F,Email,Debit card,3
12677,19,M,Email,Credit card,4
12678,30,M,Facebook,Debit card,1
12679,79,F,Facebook,Credit card,1
12680,37,M,Google,PayPal,3
12681,62,M,Email,PayPal,4
12682,28,M,Google,Debit card,3
12683,34,F,Facebook,Credit card,4
12684,42,M,Google,Credit card,4
12685,67,M,Email,PayPal,3
12686,47,F,Google,Credit card,1
12687,73,F,Email,Debit card,2
12688,80,F,Email,Credit card,4
12689,62,M,Facebook,Debit card,3
12690,48,F,Email,Debit card,1
12691,41,F,Google,Credit card,2
12692,79,M,Google,Debit card,1
12693,63,M,Facebook,Debit card,3
12694,45,M,Facebook,Debit card,4
12695,77,F,Email,Credit card,3
12696,67,F,Google,PayPal,2
12697,65,F,Facebook,PayPal,3
12698,30,M,Facebook,Credit card,2
12699,18,M,Google,PayPal,4
12700,42,F,Email,Debit card,4
12701,65,M,Email,Credit card,4
12702,24,F,Google,Debit card,4
12703,63,F,Google,Debit card,2
12704,50,M,Google,PayPal,2
12705,45,F,Email,PayPal,2
12706,51,M,Facebook,PayPal,1
12707,45,F,Google,Debit card,3
12708,69,F,Email,Debit card,2
12709,25,F,Google,Credit card,2
12710,74,F,Email,PayPal,4
12711,35,M,Google,Debit card,2
12712,61,F,Email,Debit card,4
12713,42,M,Google,Debit card,1
12714,73,M,Email,Credit card,2
12715,30,M,Facebook,Debit card,3
12716,70,F,Email,Debit card,2
12717,18,M,Email,Debit card,4
12718,65,F,Email,Debit card,3
12719,66,F,Email,Debit card,4
12720,38,M,Google,Debit card,4
12721,78,F,Facebook,Credit card,2
12722,21,F,Google,Credit card,4
12723,27,F,Google,Debit card,2
12724,29,M,Facebook,Credit card,4
12725,49,F,Google,Credit card,1
12726,56,F,Email,Debit card,3
12727,59,F,Facebook,Debit card,1
12728,31,F,Email,Debit card,3
12729,69,F,Google,Debit card,1
12730,46,F,Email,Credit card,4
12731,26,F,Facebook,Credit card,1
12732,44,F,Email,Credit card,3
12733,78,M,Email,Debit card,3
12734,52,M,Google,PayPal,3
12735,75,M,Google,Debit card,3
12736,33,F,Facebook,Debit card,1
12737,60,F,Facebook,Credit card,3
12738,51,F,Google,Debit card,1
12739,61,M,Google,Debit card,1
12740,20,M,Facebook,PayPal,3
12741,19,F,Google,Debit card,2
12742,54,M,Facebook,Debit card,1
12743,28,F,Email,Debit card,3
12744,58,F,Google,PayPal,1
12745,45,M,Google,PayPal,3
12746,68,M,Facebook,PayPal,1
12747,43,F,Facebook,Credit card,2
12748,58,M,Google,Debit card,1
12749,55,F,Facebook,Debit card,4
12750,23,F,Google,Debit card,2
12751,56,F,Facebook,PayPal,4
12752,20,F,Email,Credit card,3
12753,54,M,Google,PayPal,1
12754,19,F,Facebook,Debit card,1
12755,68,F,Email,PayPal,2
12756,49,F,Email,PayPal,3
12757,20,M,Google,Credit card,2
12758,50,M,Email,Credit card,3
12759,61,F,Google,PayPal,4
12760,73,M,Facebook,Debit card,2
12761,18,F,Email,Credit card,3
12762,74,M,Email,Debit card,2
12763,32,F,Email,PayPal,1
12764,70,M,Facebook,PayPal,1
12765,34,M,Google,Debit card,4
12766,61,F,Email,Credit card,1
12767,21,F,Google,Debit card,2
12768,76,F,Facebook,Debit card,3
12769,56,M,Email,PayPal,3
12770,52,M,Facebook,Debit card,1
12771,77,M,Facebook,PayPal,1
12772,39,F,Email,Debit card,2
12773,62,F,Facebook,Credit card,4
12774,51,F,Email,Credit card,1
12775,43,M,Google,PayPal,2
12776,41,M,Email,PayPal,4
12777,51,F,Facebook,PayPal,3
12778,44,F,Email,Credit card,4
12779,58,M,Google,PayPal,2
12780,34,F,Facebook,Debit card,2
12781,62,M,Facebook,Credit card,4
12782,28,M,Google,Debit card,1
12783,29,M,Email,Credit card,4
12784,70,F,Email,Credit card,2
12785,78,M,Facebook,PayPal,3
12786,77,M,Google,Credit card,2
12787,56,F,Email,PayPal,1
12788,27,F,Google,Credit card,4
12789,68,M,Google,Credit card,4
12790,19,F,Email,Debit card,2
12791,61,F,Google,Credit card,1
12792,41,F,Facebook,Debit card,3
12793,64,M,Google,Debit card,3
12794,67,M,Facebook,PayPal,3
12795,62,F,Google,Credit card,4
12796,54,F,Google,Credit card,4
12797,74,M,Google,Credit card,2
12798,40,M,Google,Debit card,3
12799,31,M,Google,Debit card,3
12800,52,F,Google,Debit card,1
12801,27,F,Google,PayPal,1
12802,44,F,Email,Credit card,4
12803,35,M,Google,PayPal,1
12804,34,M,Facebook,Debit card,1
12805,63,F,Google,Credit card,2
12806,53,M,Facebook,Debit card,3
12807,51,M,Facebook,Credit card,4
12808,18,F,Facebook,Debit card,4
12809,51,M,Email,Debit card,4
12810,20,F,Email,Debit card,3
12811,26,M,Google,PayPal,3
12812,20,F,Facebook,Credit card,4
12813,53,F,Google,Credit card,4
12814,67,F,Google,Debit card,1
12815,53,M,Facebook,Debit card,1
12816,37,F,Facebook,Credit card,1
12817,34,F,Google,Debit card,3
12818,49,F,Facebook,PayPal,2
12819,58,M,Facebook,Debit card,1
12820,37,F,Google,Debit card,4
12821,43,M,Google,PayPal,3
12822,57,F,Facebook,Debit card,4
12823,69,M,Google,PayPal,2
12824,26,F,Facebook,Credit card,1
12825,68,M,Facebook,Credit card,2
12826,19,F,Facebook,Debit card,4
12827,62,F,Email,PayPal,1
12828,20,M,Email,Credit card,4
12829,24,M,Facebook,Credit card,1
12830,37,M,Facebook,PayPal,3
12831,38,M,Email,PayPal,4
12832,70,F,Facebook,Debit card,1
12833,18,M,Google,Debit card,1
12834,46,M,Google,Credit card,2
12835,54,M,Facebook,PayPal,4
12836,65,M,Google,PayPal,4
12837,57,F,Facebook,Debit card,1
12838,65,M,Facebook,PayPal,1
12839,58,M,Facebook,Debit card,4
12840,30,F,Google,PayPal,1
12841,54,F,Facebook,Credit card,4
12842,71,F,Email,Debit card,2
12843,62,M,Email,Credit card,4
12844,61,F,Email,PayPal,3
12845,43,F,Facebook,PayPal,1
12846,26,M,Email,Debit card,2
12847,81,F,Google,Debit card,3
12848,39,M,Google,Credit card,3
12849,56,F,Google,PayPal,2
12850,24,M,Facebook,PayPal,4
12851,78,M,Email,PayPal,2
12852,37,F,Email,PayPal,1
12853,43,F,Email,Debit card,3
12854,66,M,Email,Credit card,2
12855,61,F,Email,PayPal,4
12856,66,M,Facebook,Credit card,1
12857,23,F,Google,Debit card,3
12858,50,M,Facebook,Debit card,1
12859,48,M,Google,Debit card,2
12860,71,F,Google,Debit card,3
12861,70,M,Facebook,PayPal,4
12862,71,M,Facebook,Debit card,2
12863,54,M,Google,PayPal,1
12864,31,M,Google,PayPal,2
12865,80,F,Google,Debit card,2
12866,61,M,Facebook,Credit card,2
12867,61,M,Google,PayPal,1
12868,60,F,Email,PayPal,3
12869,27,M,Google,Credit card,4
12870,29,F,Facebook,Debit card,2
12871,72,M,Email,Debit card,1
12872,18,F,Google,PayPal,2
12873,74,F,Email,Debit card,2
12874,54,M,Facebook,Debit card,2
12875,30,M,Facebook,Debit card,1
12876,46,F,Email,Credit card,3
12877,31,M,Google,Credit card,3
12878,31,F,Facebook,Debit card,1
12879,26,F,Google,Credit card,3
12880,61,F,Facebook,Debit card,3
12881,21,F,Facebook,Debit card,3
12882,75,F,Email,PayPal,3
12883,29,F,Google,Debit card,3
12884,69,M,Google,Credit card,4
12885,71,F,Email,Debit card,4
12886,38,M,Email,Credit card,2
12887,76,F,Facebook,PayPal,2
12888,45,F,Facebook,Debit card,1
12889,54,M,Facebook,PayPal,2
12890,36,F,Google,Debit card,3
12891,47,F,Google,PayPal,4
12892,24,M,Email,Credit card,4
12893,75,F,Email,Debit card,1
12894,81,M,Email,PayPal,2
12895,59,F,Facebook,Debit card,1
12896,80,F,Google,Debit card,1
12897,55,F,Facebook,Credit card,1
12898,60,F,Facebook,PayPal,4
12899,73,F,Facebook,PayPal,1
12900,68,F,Facebook,Debit card,2
12901,19,M,Email,PayPal,1
12902,52,F,Google,PayPal,2
12903,51,M,Facebook,Credit card,3
12904,44,F,Facebook,PayPal,4
12905,39,M,Email,Credit card,1
12906,68,F,Email,PayPal,4
12907,78,F,Email,Debit card,2
12908,67,F,Facebook,PayPal,3
12909,75,M,Email,Credit card,3
12910,65,F,Email,PayPal,2
12911,66,F,Email,PayPal,2
12912,51,M,Facebook,PayPal,1
12913,63,M,Google,Debit card,2
12914,52,M,Email,Debit card,3
12915,33,M,Email,PayPal,2
12916,51,F,Google,Debit card,2
12917,36,M,Google,Debit card,4
12918,27,F,Email,PayPal,3
12919,36,F,Google,PayPal,1
12920,50,F,Email,Debit card,1
12921,66,M,Email,Debit card,1
12922,60,F,Google,Debit card,4
12923,76,F,Facebook,PayPal,1
12924,80,F,Google,Credit card,1
12925,72,M,Facebook,Credit card,2
12926,66,F,Email,Credit card,2
12927,60,F,Email,Credit card,3
12928,21,M,Google,Credit card,1
12929,58,M,Email,Debit card,4
12930,72,F,Google,Credit card,3
12931,21,F,Facebook,Debit card,2
12932,35,F,Email,Debit card,4
12933,78,M,Email,Credit card,3
12934,71,F,Email,Debit card,4
12935,18,F,Facebook,Debit card,4
12936,27,M,Google,PayPal,2
12937,50,M,Facebook,Credit card,1
12938,70,F,Email,PayPal,3
12939,52,F,Email,Debit card,4
12940,18,M,Facebook,Credit card,1
12941,65,M,Email,Credit card,1
12942,57,M,Email,PayPal,3
12943,18,F,Facebook,Debit card,3
12944,50,M,Facebook,PayPal,1
12945,81,F,Google,Debit card,1
12946,29,M,Email,Credit card,2
12947,68,F,Google,PayPal,2
12948,26,M,Google,Debit card,3
12949,26,F,Google,PayPal,2
12950,19,M,Google,Credit card,4
12951,54,F,Email,Credit card,2
12952,59,F,Facebook,PayPal,4
12953,29,F,Facebook,Credit card,4
12954,45,M,Facebook,PayPal,4
12955,81,F,Google,Debit card,4
12956,41,F,Email,Debit card,1
12957,60,F,Google,PayPal,2
12958,54,F,Facebook,Credit card,1
12959,72,M,Facebook,PayPal,3
12960,51,F,Email,PayPal,2
12961,30,M,Facebook,Debit card,1
12962,72,M,Facebook,Debit card,1
12963,32,F,Email,PayPal,4
12964,23,F,Facebook,Debit card,1
12965,41,F,Google,PayPal,2
12966,26,M,Google,Credit card,2
12967,33,F,Google,Credit card,1
12968,67,F,Email,PayPal,3
12969,41,M,Email,PayPal,1
12970,38,M,Facebook,Credit card,3
12971,53,F,Email,PayPal,2
12972,30,M,Email,Debit card,4
12973,27,F,Email,Credit card,3
12974,59,M,Facebook,PayPal,3
12975,53,F,Facebook,Debit card,4
12976,65,F,Google,PayPal,4
12977,69,M,Google,Credit card,4
12978,71,F,Facebook,PayPal,2
12979,74,M,Google,Credit card,1
12980,35,M,Email,Debit card,3
12981,68,F,Email,Debit card,3
12982,78,M,Google,PayPal,3
12983,30,F,Facebook,Credit card,2
12984,24,M,Google,Debit card,2
12985,35,M,Facebook,Credit card,1
12986,60,F,Google,Credit card,3
12987,63,M,Google,Debit card,2
12988,76,F,Facebook,PayPal,2
12989,52,M,Facebook,PayPal,1
12990,41,M,Google,Credit card,1
12991,73,F,Facebook,Debit card,4
12992,29,F,Google,Debit card,3
12993,29,M,Google,Debit card,3
12994,76,M,Facebook,PayPal,2
12995,70,M,Email,Debit card,1
12996,72,M,Facebook,Credit card,2
12997,75,M,Facebook,Debit card,3
12998,44,M,Google,PayPal,1
12999,33,M,Facebook,Credit card,2
13000,22,M,Facebook,PayPal,4
13001,37,F,Email,PayPal,1
13002,63,F,Email,PayPal,2
13003,19,F,Google,Credit card,2
13004,69,F,Google,PayPal,1
13005,32,M,Facebook,Debit card,2
13006,27,M,Facebook,Debit card,3
13007,34,F,Google,Credit card,3
13008,41,M,Google,PayPal,2
13009,37,F,Email,PayPal,2
13010,60,M,Facebook,Debit card,3
13011,75,F,Facebook,Credit card,1
13012,61,M,Google,Credit card,1
13013,67,M,Facebook,Credit card,3
13014,63,F,Google,Credit card,2
13015,81,M,Google,Debit card,4
13016,53,F,Email,PayPal,4
13017,58,F,Email,PayPal,2
13018,62,M,Email,PayPal,3
13019,35,F,Google,PayPal,1
13020,78,M,Google,Debit card,3
13021,50,F,Facebook,Credit card,4
13022,79,M,Email,Credit card,4
13023,63,F,Google,PayPal,2
13024,80,M,Email,Debit card,1
13025,56,M,Google,PayPal,1
13026,57,M,Email,Debit card,2
13027,32,M,Google,Credit card,2
13028,41,M,Email,Credit card,4
13029,77,M,Email,PayPal,2
13030,28,F,Email,Credit card,2
13031,26,M,Facebook,Credit card,4
13032,38,M,Google,Debit card,4
13033,25,M,Email,Debit card,4
13034,72,M,Email,Debit card,1
13035,57,F,Email,Credit card,4
13036,71,M,Facebook,Credit card,3
13037,52,M,Facebook,PayPal,2
13038,29,F,Facebook,PayPal,3
13039,81,F,Email,PayPal,4
13040,64,F,Facebook,Credit card,2
13041,65,F,Facebook,Credit card,1
13042,49,F,Facebook,PayPal,1
13043,29,F,Email,PayPal,3
13044,57,F,Facebook,Debit card,4
13045,71,M,Email,Credit card,1
13046,25,M,Facebook,Credit card,1
13047,18,M,Google,Credit card,3
13048,43,F,Google,PayPal,2
13049,45,M,Google,Credit card,3
13050,48,M,Google,Debit card,2
13051,68,M,Google,PayPal,2
13052,54,F,Facebook,Debit card,1
13053,21,M,Facebook,PayPal,4
13054,52,F,Facebook,Debit card,2
13055,73,M,Email,Debit card,3
13056,47,F,Email,Debit card,1
13057,38,F,Email,Debit card,1
13058,38,F,Email,Debit card,3
13059,61,F,Google,Debit card,2
13060,51,M,Google,Debit card,4
13061,72,M,Facebook,PayPal,4
13062,59,M,Facebook,Debit card,3
13063,73,F,Email,PayPal,3
13064,26,F,Google,PayPal,3
13065,70,F,Google,PayPal,3
13066,64,M,Email,PayPal,1
13067,27,M,Google,Credit card,3
13068,65,M,Google,Debit card,2
13069,68,F,Facebook,Debit card,2
13070,76,F,Facebook,Credit card,1
13071,52,F,Email,Debit card,4
13072,44,F,Google,PayPal,1
13073,74,F,Facebook,Credit card,2
13074,58,M,Email,PayPal,3
13075,43,M,Facebook,Debit card,4
13076,52,F,Facebook,PayPal,4
13077,39,M,Google,Debit card,4
13078,33,F,Email,PayPal,4
13079,34,F,Email,PayPal,2
13080,81,M,Facebook,Debit card,3
13081,43,M,Facebook,Credit card,2
13082,60,M,Email,PayPal,1
13083,38,M,Email,PayPal,3
13084,62,F,Email,Debit card,3
13085,54,M,Facebook,PayPal,2
13086,32,F,Email,PayPal,2
13087,52,M,Email,Credit card,3
13088,47,F,Google,PayPal,1
13089,68,M,Email,PayPal,1
13090,79,M,Google,Credit card,4
13091,47,F,Email,Credit card,3
13092,63,M,Facebook,Credit card,3
13093,46,F,Google,Debit card,3
13094,60,F,Facebook,Debit card,1
13095,47,M,Google,Credit card,1
13096,37,M,Email,Credit card,1
13097,42,F,Google,Credit card,3
13098,52,F,Google,Credit card,4
13099,33,F,Email,Debit card,3
13100,78,F,Google,PayPal,4
13101,19,M,Google,Debit card,1
13102,39,F,Google,Debit card,2
13103,70,F,Email,PayPal,4
13104,28,M,Google,Debit card,1
13105,67,M,Google,Credit card,3
13106,48,M,Email,Credit card,1
13107,40,F,Facebook,Debit card,4
13108,27,F,Facebook,PayPal,1
13109,68,M,Facebook,Credit card,4
13110,42,M,Facebook,Credit card,4
13111,22,M,Facebook,Credit card,3
13112,28,M,Google,PayPal,4
13113,32,F,Email,Credit card,4
13114,71,M,Email,Credit card,1
13115,24,F,Facebook,Credit card,3
13116,62,F,Google,PayPal,3
13117,18,M,Google,PayPal,2
13118,41,F,Facebook,Debit card,3
13119,38,M,Google,PayPal,4
13120,73,F,Google,Credit card,2
13121,53,F,Google,Credit card,1
13122,72,M,Email,Credit card,2
13123,25,M,Google,Debit card,2
13124,44,M,Google,PayPal,1
13125,75,M,Email,Debit card,1
13126,63,M,Facebook,PayPal,2
13127,65,M,Email,Debit card,1
13128,79,M,Email,Credit card,2
13129,55,M,Facebook,Credit card,3
13130,72,F,Facebook,PayPal,4
13131,63,M,Facebook,Debit card,2
13132,53,M,Email,PayPal,1
13133,49,F,Facebook,Debit card,2
13134,73,M,Google,Debit card,1
13135,53,F,Email,Debit card,3
13136,69,M,Facebook,Credit card,4
13137,48,F,Google,Debit card,4
13138,26,M,Email,Credit card,3
13139,38,M,Google,PayPal,3
13140,71,M,Facebook,PayPal,4
13141,64,M,Facebook,PayPal,4
13142,74,M,Google,Debit card,1
13143,39,M,Email,Debit card,4
13144,54,F,Email,Debit card,4
13145,22,M,Google,Debit card,4
13146,76,F,Google,Debit card,3
13147,78,M,Google,PayPal,4
13148,44,M,Facebook,PayPal,1
13149,69,F,Google,Debit card,3
13150,55,M,Email,Debit card,3
13151,52,F,Google,Debit card,4
13152,40,M,Email,Credit card,3
13153,78,M,Email,Debit card,2
13154,34,M,Email,PayPal,2
13155,59,M,Facebook,PayPal,1
13156,63,F,Google,Debit card,1
13157,52,M,Facebook,Credit card,2
13158,19,F,Facebook,Debit card,1
13159,68,F,Google,Credit card,4
13160,60,F,Email,Credit card,2
